"ID","Date","Marché","Côté","Type d'ordre","Quantité","Prix","Total","Frais","Fee Currency","TWAP"
"9929518323","2022-09-10T14:25:41.456487+00:00","BTC-PERP","buy","Market","0.03","21272","638.16","0.43331064","USD","false"
"9929443997","2022-09-10T14:15:17.496653+00:00","RUNE-PERP","sell","Market","184.9","1.9815","366.37935000000004","0.24877157865","USD","false"
"9929288239","2022-09-10T14:00:20.265026+00:00","NEAR-PERP","sell","Market","72.8","4.675","340.34","0.23109086","USD","false"
"9929288237","2022-09-10T14:00:20.265026+00:00","NEAR-PERP","sell","Market","1.3","4.676","6.0788","0.0041275052","USD","false"
"9929287389","2022-09-10T14:00:15.956120+00:00","CRV-PERP","sell","Market","251","1.173","294.423","0.199913217","USD","false"
"9929287387","2022-09-10T14:00:15.956120+00:00","CRV-PERP","sell","Market","50","1.173","58.650000000000006","0.03982335","USD","false"
"9929285750","2022-09-10T14:00:09.577775+00:00","RUNE-PERP","sell","Market","46.1","1.9785","91.20885","0.06193080915","USD","false"
"9929110651","2022-09-10T13:45:29.073452+00:00","BTC-PERP","buy","Limit","0.03","21195","635.85","0.1233549","USD","false"
"9929028770","2022-09-10T13:36:51.480379+00:00","BTC-PERP","buy","Market","0.01","21253","212.53","0.14430787","USD","false"
"9929014234","2022-09-10T13:34:33.577488+00:00","BTC-PERP","sell","Market","0.0074","21263","157.3462","0.1068380698","USD","false"
"9929014232","2022-09-10T13:34:33.577488+00:00","BTC-PERP","sell","Market","0.0476","21263","1012.1188000000001","0.6872286652","USD","false"
"9929014230","2022-09-10T13:34:33.577488+00:00","BTC-PERP","sell","Market","0.006","21263","127.578","0.086625462","USD","false"
"9929014223","2022-09-10T13:34:33.577488+00:00","BTC-PERP","sell","Market","0.017","21263","361.471","0.245438809","USD","false"
"9929014221","2022-09-10T13:34:33.577488+00:00","BTC-PERP","sell","Market","0.0012","21263","25.5156","0.0173250924","USD","false"
"9929014219","2022-09-10T13:34:33.577488+00:00","BTC-PERP","sell","Market","0.0608","21263","1292.7904","0.8778046816","USD","false"
"9928970172","2022-09-10T13:29:30.927965+00:00","BTC-PERP","buy","Market","0.052","21275","1106.3","0.7511777","USD","false"
"9928970170","2022-09-10T13:29:30.927965+00:00","BTC-PERP","buy","Market","0.018","21275","382.95","0.26002305","USD","false"
"9928898357","2022-09-10T13:22:13.879428+00:00","NEAR-PERP","buy","Market","35","4.692","164.22","0.11150538","USD","false"
"9928898355","2022-09-10T13:22:13.879428+00:00","NEAR-PERP","buy","Market","0.1","4.692","0.46920000000000006","0.0003185868","USD","false"
"9928898353","2022-09-10T13:22:13.879428+00:00","NEAR-PERP","buy","Market","42.7","4.692","200.34840000000003","0.1360365636","USD","false"
"9928898351","2022-09-10T13:22:13.879428+00:00","NEAR-PERP","buy","Market","0.1","4.692","0.46920000000000006","0.0003185868","USD","false"
"9928862077","2022-09-10T13:20:17.484395+00:00","BTC-PERP","buy","Market","0.07","21242","1486.94","1.00963226","USD","false"
"9928859483","2022-09-10T13:20:11.016554+00:00","BTC-PERP","buy","Market","0.06","21244","1274.6399999999999","0.86548056","USD","false"
"9928859481","2022-09-10T13:20:11.016554+00:00","BTC-PERP","buy","Market","0.0012","21244","25.4928","0.0173096112","USD","false"
"9928859479","2022-09-10T13:20:11.016554+00:00","BTC-PERP","buy","Market","0.0062","21243","131.7066","0.0894287814","USD","false"
"9928859477","2022-09-10T13:20:11.016554+00:00","BTC-PERP","buy","Market","0.0014","21243","29.740199999999998","0.0201935958","USD","false"
"9928859475","2022-09-10T13:20:11.016554+00:00","BTC-PERP","buy","Market","0.0012","21243","25.4916","0.0173087964","USD","false"
"9928845627","2022-09-10T13:19:28.571991+00:00","BTC-PERP","sell","Market","0.07","21229","1486.0300000000002","1.00901437","USD","false"
"9928802356","2022-09-10T13:16:20.953083+00:00","ETH-PERP","sell","Market","0.1","1722.7","172.27","0.11697133","USD","false"
"9928801583","2022-09-10T13:16:15.833036+00:00","BTC-PERP","sell","Market","0.0301","21256","639.8055999999999","0.4344280024","USD","false"
"9928801581","2022-09-10T13:16:15.833036+00:00","BTC-PERP","sell","Market","0.0062","21256","131.78719999999998","0.0894835088","USD","false"
"9928801579","2022-09-10T13:16:15.833036+00:00","BTC-PERP","sell","Market","0.0914","21256","1942.7984","1.3191601136","USD","false"
