"ID","Date","Marché","Côté","Type d'ordre","Quantité","Prix","Total","Frais","Fee Currency","TWAP"
"9954870549","2022-09-12T11:26:58.671059+00:00","NEAR-PERP","sell","Market","17.8","5.25","93.45","0.06345255","USD","false"
"9954771889","2022-09-12T11:18:28.126508+00:00","AAVE-PERP","sell","Market","0.12","95.75","11.49","0.00780171","USD","false"
"9954549715","2022-09-12T11:00:16.422383+00:00","ATOM-PERP","buy","Market","5.76","16.315","93.9744","0.0638086176","USD","false"
"9954549505","2022-09-12T11:00:15.210483+00:00","AAVE-PERP","buy","Market","0.12","94.91","11.389199999999999","0.0077332668","USD","false"
"9954176947","2022-09-12T10:30:09.368641+00:00","NEAR-PERP","buy","Market","17.8","5.201","92.5778","0.0628603262","USD","false"
"9954106880","2022-09-12T10:24:29.019741+00:00","NEAR-PERP","sell","Market","17.8","5.25","93.45","0.06345255","USD","false"
"9954091529","2022-09-12T10:23:28.457196+00:00","ATOM-PERP","sell","Market","5.79","16.2145","93.881955","0.063745847445","USD","false"
"9954053286","2022-09-12T10:20:50.038233+00:00","AAVE-PERP","sell","Market","0.12","94.04","11.2848","0.0076623792","USD","false"
"9953653539","2022-09-12T10:00:20.689874+00:00","ATOM-PERP","buy","Market","5.79","16.044","92.89476","0.06307554204","USD","false"
"9953653351","2022-09-12T10:00:19.844224+00:00","NEAR-PERP","buy","Market","17.8","5.201","92.5778","0.0628603262","USD","false"
"9953653059","2022-09-12T10:00:18.937209+00:00","DOT-PERP","buy","Market","1.5","7.972","11.958","0.008119482","USD","false"
"9953652655","2022-09-12T10:00:17.091120+00:00","1INCH-PERP","buy","Market","139","0.6658","92.5462","0.0628388698","USD","false"
"9953244462","2022-09-12T09:32:53.897728+00:00","NEAR-PERP","sell","Market","17.7","5.215","92.3055","0.0626754345","USD","false"
"9953190786","2022-09-12T09:30:09.880013+00:00","NEAR-PERP","buy","Market","17.7","5.191","91.88069999999999","0.0623869953","USD","false"
"9953122831","2022-09-12T09:24:26.454542+00:00","DOT-PERP","sell","Market","1.5","7.879","11.8185","0.0080247615","USD","false"
